DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
72380,EMTEL,891502163-1,91,AMAZONAS,91536,PUERTO ARICA,91536000,PUERTO ARICA,INSTALADA,"-2,14924000","-71,75539000",1900-01-01,1900-01-01,2020-10-31,2020-12-31,,,3,10,"99692140,00"
72455,EMTEL,891502163-1,19,CAUCA,19137,CALDONO,19137012,GRANADILLO,INSTALADA,"2,80600000","-76,40533000",1900-01-01,1900-01-01,2020-10-31,2020-12-31,,,3,10,"99692140,00"
71457,RED DE INGENIERIA S.A.S.,804012847-1,41,HUILA,41306,GIGANTE,41306015,LA BODEGA,EN OPERACI�N,"2,36333000","-75,48111000",2019-12-01,2021-08-31,2020-10-31,2020-12-31,560,"207,75",1,9,"27007800,00"
72398,EMTEL,891502163-1,08,ATLANTICO,08606,REPELON,08086061,Vereda Arroyonegro,INSTALADA,"10,49431000","-75,12459000",1900-01-01,1900-01-01,2020-10-31,2020-12-31,,,3,10,"99692140,00"
72586,EMTEL,891502163-1,86,PUTUMAYO,86568,PUERTO ASIS,86568000,VDA ANCURA,INSTALADA,",47241660","-76,43922000",1900-01-01,1900-01-01,2020-10-31,2020-12-31,,,3,10,"99692140,00"
72546,EMTEL,891502163-1,44,LA GUAJIRA,44430,MAICAO,44430000,COMUNIDAD PIPAMANA,INSTALADA,"11,39472000","-72,26444000",1900-01-01,1900-01-01,2020-10-31,2020-12-31,,,3,10,"99692140,00"
71153,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15822,TOTA,15822000,CORALES,EN OPERACI�N,"5,50222000","-73,00278000",2019-12-04,2021-09-03,2020-10-31,2020-12-31,576,"58,64",1,9,"27007800,00"
72018,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54385,LA ESPERANZA,54385008,VEREDA VILLAMARIA,EN OPERACI�N,"7,60778000","-73,31861000",2019-12-04,2021-09-03,2020-10-31,2020-12-31,454,"246,75",1,9,"27007800,00"
71940,RED DE INGENIERIA S.A.S.,804012847-1,76,VALLE DEL CAUCA,76243,EL AGUILA,76243000,CORREGIMIENTO LA JUDEA,EN OPERACI�N,"4,86806000","-76,08250000",2019-12-08,2021-09-07,2020-07-31,2020-12-31,369,"95,64",1024,9216,"27007797,00"
71616,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54810,TIBU,54810000,VEREDA CAMPO TRES,EN OPERACI�N,"8,76250000","-72,75861000",2019-12-10,2021-09-09,2020-10-31,2020-12-31,415,"241,05",1,9,"27007800,00"
